District,depth
Barbour County School District,85.25
Berkeley County School District,36.375
Boone County School District,38
Braxton County School District,25
Brooke County School District,NaN
Cabell County School District,36.375
Calhoun County School District,25
Clay County School District,25
Doddridge County School District,30.25
Fayette County School District,0
Gilmer County School District,25.375
Grant County School District,101.5
Greenbrier County School District,0
Hampshire County School District,26.625
Hancock County School District,NaN
Hardy County School District,33.375
Harrison County School District,25
Jackson County School District,25
Jefferson County School District,38
Kanawha County School District,25
Lewis County School District,46
Lincoln County School District,0
Logan County School District,38
Marion County School District,51
Marshall County School District,25
Mason County School District,31
McDowell County School District,NaN
Mercer County School District,25
Mineral County School District,25
Mingo County School District,0
Monongalia County School District,NaN
Monroe County School District,0
Morgan County School District,0
Nicholas County School District,51
Ohio County School District,9.375
Pendleton County School District,51
Pleasants County School District,NaN
Pocahontas County School District,44.25
Preston County School District,152.25
Putnam County School District,38
Raleigh County School District,30
Randolph County School District,79.5
Ritchie County School District,25
Roane County School District,25
Summers County School District,0
Taylor County School District,25
Tucker County School District,139.5
Tyler County School District,20
Upshur County School District,76
Wayne County School District,25.5
Webster County School District,51
Wetzel County School District,53.125
Wirt County School District,NaN
Wood County School District,11.375
Wyoming County School District,25.5